id,jobFilingNumber,borough,house_number,street_name,address,zip_code,job_type,permit_status,filing_date,issuance_date,job_description,estimated_job_costs,owner_name,owner_business_name,applicant_business_name,applicant_license,latitude,longitude,community_board,council_district,census_tract,nta,source
dob-now-M00766992-P7,M00766992-P7,MANHATTAN,142,WEST   21 STREET,142 WEST   21 STREET,10038,ALT-CO - New Building with Existing Elements to Remain,Chief Plan Examiner/ Assistant Chief Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-14T00:29:29.000Z,"Other | Cellar, Floor Number(s) 1 through 13, Roof",1000,BUILT BY GRID LLC,BUILT BY GRID LLC,BUILT BY GRID LLC,096363,40.742151,-73.99502,104,03,87,Chelsea-Hudson Yards,NYC DOB NOW Build Job Application Filings
dob-now-Q01383212-I1,Q01383212-I1,QUEENS,142-15,122 AVENUE,142-15 122 AVENUE,10462,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-09T22:51:36.000Z,1 Family | Roof,33750,Not Applicable,Not Applicable,Not Applicable,094110,40.675263,-73.797248,412,28,182,Baisley Park,NYC DOB NOW Build Job Application Filings
dob-now-B00823371-P7,B00823371-P7,BROOKLYN,1424,73 STREET,1424 73 STREET,10309,Alteration CO,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-07T23:19:44.000Z,1 Family,220500,PR,PR,PR,033343,40.619704,-74.003318,311,38,188,Bensonhurst,NYC DOB NOW Build Job Application Filings
dob-now-B01381957-I1,B01381957-I1,BROOKLYN,1429,35 STREET,1429 35 STREET,11423,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-07T17:45:08.000Z,Other | Sidewalk,12000,LEGACY CONSTRUCTION NY CORP,LEGACY CONSTRUCTION NY CORP,LEGACY CONSTRUCTION NY CORP,090954,40.641194,-73.981162,312,39,228,Borough Park,NYC DOB NOW Build Job Application Filings
dob-now-M01382001-I1,M01382001-I1,MANHATTAN,145,2 AVENUE,145 2 AVENUE,11417,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-08T21:37:31.000Z,Other | Ground Floor,9000,SAFETECH ENTERPRISES CORP,SAFETECH ENTERPRISES CORP,SAFETECH ENTERPRISES CORP,103102,40.729601,-73.988187,103,02,4002,East Village,NYC DOB NOW Build Job Application Filings
dob-now-B00455058-P1,B00455058-P1,BROOKLYN,1450,FULTON STREET,1450 FULTON STREET,11201,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-07T18:47:59.000Z,Other | Cellar,6000,THE MANN GROUP,THE MANN GROUP,THE MANN GROUP,027632,40.680009,-73.942624,303,36,271,Bedford-Stuyvesant (East),NYC DOB NOW Build Job Application Filings
dob-now-B01358922-I1,B01358922-I1,BROOKLYN,147,DIAMOND STREET,147 DIAMOND STREET,10037,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T21:43:31.000Z,"2 Family | Cellar, Cellar, Floor Number(s) 002 through 002, Floor Number(s) 002 through 002, Open Space, Roof",0,Not Applicable,Not Applicable,Not Applicable,022285,40.727487,-73.947937,301,33,573,Greenpoint,NYC DOB NOW Build Job Application Filings
dob-now-Q01313247-I1,Q01313247-I1,QUEENS,147-25,LIBERTY AVENUE,147-25 LIBERTY AVENUE,11363,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-07T23:16:09.000Z,Other | Roof,20000,Not Applicable,Not Applicable,Not Applicable,094686,40.696547,-73.804046,412,27,208,Jamaica,NYC DOB NOW Build Job Application Filings
dob-now-Q01333483-P1,Q01333483-P1,QUEENS,148-03,90 AVENUE,148-03 90 AVENUE,11358,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-08T00:05:07.000Z,"2 Family | Attic, Cellar, Open Space",128280,shenzhen inc,shenzhen inc,shenzhen inc,026846,40.703285,-73.807016,412,27,240,Jamaica,NYC DOB NOW Build Job Application Filings
dob-now-Q01103898-P2,Q01103898-P2,QUEENS,149-04,ROCKAWAY BOULEVARD,149-04 ROCKAWAY BOULEVARD,11747,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-08T22:15:48.000Z,"Other | Open Space, Underground",150000,HIGH POINT ENGINEERING,HIGH POINT ENGINEERING,HIGH POINT ENGINEERING,078209,40.673124,-73.788851,412,28,788,Baisley Park,NYC DOB NOW Build Job Application Filings
